title,content,rating,date,author,recommended
“Great customer service from BA”,"✅ Trip Verified | Flight cancelled due to bad weather, BA contacted me by email immediately and provided an alternative booking as well as a link if their suggestion for a different flight wasn't convenient. Clicked on the link and was assisted promptly by a service rep who rebooked me and sent all details within a few minutes. Great customer service from BA....well done.",10,2nd August 2024,S Irving,
"""Absolute worst travel experience""","✅ Trip Verified |  British Airways oversold my LHR to LAX flight; I booked months in advance paid in full and actually paid over $1000 extra to fly their Airbus A380. Tried to check in online day before flight, got unknown system error couldn’t check in. Arrived at LHR 3.5 hours early; none of BA kiosks worked, all manual check in by understaffed BA staff who were all unhelpful. Insane queue times; lots of other frustrated passengers in line. Denied boarding at the gate because flight oversold, no explanations, no apologies, constantly ignored by BA staff who don’t have the patience to listen to your situation or be helpful. Finally gate manager books alternate flight to Paris CDG, supposedly to connect with an Air France flight. We get to CDG only to be told by Air France their flight was full; no idea why BA manager bumped me to AF flight that’s also full! That’s insult to injury to be bumped twice! Went to BA desk at CDG, no help at all they told us to call BA and couldn’t even provide the phone number; just told us to look online. On top of all that my luggage is lost somewhere between BA and AF in Paris CDG. I’m an American citizen and speak perfect English, but I feel completely humiliated and treated like second class citizen by multiple BA staff through the whole ordeal. Mostly they just ignore you or bounce you from one counter to another without even trying to listen to your problem. Zero accountability. Will never ever fly BA again! Absolute worst travel experience of my life.",1,30th July 2024,S Drew,
"""one of the worst airlines""","✅ Trip Verified |  I travelled London to Doha on July 16th, I had to physically check in at BA Business T5 because I had an ongoing connection in Doha and the flight was a code share with Qatar. I had paid for my flight through Qatar and paid for the seat online so I could sit where I like to sit and when I got to check in discovered I had been reseated elsewhere in the cabin and was told that was their policy and basically to shut up about it. I then discovered that BA do not recognise Qatar frequent flyer rules despite sharing Avios points. I'm a Gold card holder in Qatar which affords me extra kilos on the baggage but BA tried to tell me I had to pay. After some arguing eventually they accepted it! The Lounge was packed, staff less than helpful when I tried to get some answers on my seat reassignment, I was told I would get my money back - no chance of that so don't even try. The flight boarded by bus, the journey took 15 minutes to get from terminal to aircraft which I am guessing was at another terminal because it took so long to get there. Why not board us through that terminal rather than drag us all over the airport? Finally got onto the plane, BA staff are not friendly, it's no wonder they are ranked 13th, I now realise it's a privilege being allowed to step onto a BA flight and it departed 90+ minutes late. Myself and many other travellers had connections and this meant I was either going to miss the connection or I would manage to make the connection but my luggage wouldn't. Would BA flight crew help me on board to figure out the connection? they eventually came to tell me me in their haughty attitude, ""We are now landing 15 minutes earlier so that give you a full 50 minutes to make your connection"" Landing early does not mean getting to the gate earlier, it usually takes at least 10 minutes from landing to gate, then another 7 for the jetway to be attached and if you are lucky to be sitting near the door straight off, if not 20 minutes to disembark, if you want to be helpful don't say stupid things to people who are frequent travellers! As it turned out I was sitting near the door and had to run off the plane, Qatar were there to assist but I did have to run from the A gates all the way to C gates to make my connection, not a short distance for a 70+ year old and the luggage did not make it. Many others were not as fortunate and didn't make their connections. Why put a page in the flight entertainment for connections if you are not going to provide the information, it's public information you can look it up on line, so the aircraft has access to WiFi and satellite communication so I fail to understand why this information cannot be captured and displayed? I complained to BA got a wishy washy email with a number of excuses in it, no mention of the seat refund. I got a paltry voucher that I'm supposed to use on another BA flight - who are they kidding I am not sure I want to experience that again. However I have recently discovered that of my frequently travelled to destinations is really only serviced by BA if I want to fly at a reasonable hour of the day or go all over Europe just to avoid them which is too expensive. I consider them one of the worst airlines I have ever flown and getting worse by the minute. Fly them only if you absolutely have to and good luck.",3,30th July 2024,Tim Taylor,
"""my travel pram confiscated from me""","✅ Trip Verified |  When dropping off my luggage at the luggage drop off at Toulouse airport, I had my travel pram confiscated from me and I was forced to take my sleeping 2 year old in my arms while traveling alone with him at 5.30am. I was told by the staff outsourced by British Airways to check in passengers that only yoyo prams were accepted on board. I corrected her that it was ""yoyo type"" prams but she contested and told me that only yoyo prams would be allowed and if I insisted to keep my sleeping 2-year-old in his pram I would not be permitted to board the flight to London. This happened to 2 other families and we were forced to go to the oversized baggage area of the airport. To clarify my pram is the Silver Cross Jet stroller pushchair which I specifically purchased as it is conform to the British Airways specifications. I was then required to carry my toddler for 30 mins through security, and then again for another 40 mins while waiting to board the plane (I was ""allowed"" early boarding only to be moved from my seat to stand on the other side of the staff with no more options to sit down). At Heathrow, I was then required to carry my toddler again for approx. 40 mins to go through passport check and luggage claim (as mentioned previously, I was traveling alone with my child with no other support). All this, despite purchasing a very expensive pram to fit to your requirements and coming to the airport prepared with this pram. I'm sure you agree this is unacceptable and it is illegal to force passengers to purchase a specific brand of products in order to be able to keep their child in their travel pram.  In addition to this, once on the plane, I installed my Kids Fly Safe Cares Child Airplane Safety Harness for my son. The cabin crew then proceeded to tell me this was not allowed. I had to go on the website to show them that this was incorrect and I was in fact within my rights. Then, for landing, the crew had the gall to tell me to put the harness on my son and that it was mandatory to which I asked, if it was mandatory why did I bring the harness myself. British Airways is the most discriminatory airline for parents traveling with children and this needs to change. My advice; don't treat a mom traveling alone at 5am with a sleeping toddler like rubbish, and don't confiscate her travel pram that is within regulation forcing her to have the worst travel experience possible.",1,28th July 2024,M Raulin,
“VERY uncomfortable seats”,"✅ Trip Verified | If you can’t fly First Class don’t fly British Airways! VERY uncomfortable seats. You can’t even get out of your seat when the person in front has their seat reclined (and who doesn’t need to recline their seat!) You can’t pick up ANYTHING off the floor during the flight because you can’t bend to touch the floor - there isn’t enough space to! If you have long legs don’t think you are going to be comfortable - as soon as the person in front of you puts their chair back your knees WILL be CRUSHED! Terrible food, Terrible plane, Terrible air-hostesses, Terrible flight and unfortunately I have to fly back home with them.",1,19th July 2024,M Owen,
"""substandard business class experience""",Not Verified |   Singapore to Heathrow. Business class on an A380-800 is a Premium Economy Plus experience. From the economy class sized toilets to the badly designed coffin shaped Business class pods - the experience is a substandard business class experience. Business class pod’s storage is a small drawer at the FOOT of the pod. The ‘privacy’ screens are opaque plastic sheets - so you are kept awake by your neighbour as their screen lights up your pod. When the seat is made into its coffin shaped bed - the cold hard plastic seat moulds are an unpleasant surprise for those that turn in their sleep. You have a choice of having your neighbour step over your calf-height footrest - hopefully not brushing your feet with theirs - or having to step over your neighbour's feet/footrest. With the footrest down - heaven-forbid you try to lever yourself into a more comfortable position as the slightest pressure causes the footrest to collapse into its floor level position. If you are in the aisle seat - which is open to the aisle - kiss goodbye to any privacy as not only will you be on view to all passengers - the crew will lean you to both serve your neighbour their food and talk to your neighbour over your privacy screen.,1,16th July 2024,Bryan Fisk,
"""Customer Service is shocking""",Not Verified |   I reported my damaged/ruined suitcase 5 weeks ago and I'm still awaiting a reply. I'll think twice about booking with BA again as the Customer Service is shocking to say the least. I've followed up with British Airways with at least 3 emails per week requesting an update but with no joy so far.,1,15th July 2024,David Bolland,
"""left me extremely disappointed""","Not Verified |   On March 1st, I flew from Berlin to São Paulo with BA but encountered several issues. My first flight was delayed by several hours, causing me to miss my connection at London Heathrow. Upon arriving at the airport after midnight, I was given a hotel voucher. However, the hotel designated by BA rudely denied me check-in, claiming it was fully booked. I had to return to Heathrow at 1 AM and found a different hotel, paying for the taxi out of my own pocket. As a result of these complications, I arrived in São Paulo more than 24 hours late. Despite my efforts to assert my rights and seek reimbursement for the taxi, BA's customer service has been extremely poor. Their phone lines are non-functional, emails are only answered automatically, and the appropriate channels for such requests have not been responsive since the first week of March. This experience has left me extremely disappointed, especially considering the high standard of service I once associated with BA.",1,9th July 2024,Daniel Chinellato,
“customer service was awful”,"Not Verified | The WORST customer experience! British Airways (BA) is effectively robbing people! They are not here to help and show no compassion. My partner and I fell ill and had a doctor’s note stating we couldn't fly. BA said they'd hold our flight amount as a voucher valid for a year. Fair enough. Caveat to this (which was not stated to us): you must call them and it is not usable on holiday packages. However, using this voucher was a nightmare. We can't use it for both our tickets because the original was long-haul, and they refuse to refund half the amount. BA's customer service was awful and rude, effectively stealing £400 from us. This policy must stop. We feel held hostage with no solution.",1,5th July 2024,Flora Dogneton,
"""over 2 weeks to respond""","Not Verified |   Had to cancel my flight months in advance due to a change of schedule. I was flying with American Airlines and British Airways. Selected seats and when I attempted to get a refund on the selected seats, AA refunded me with no issue when BA refused despite both companies having similar policies. Avoid them, fly with anyone else. Customer service is a joke, taking over 2 weeks to respond to my email and giving me no further justification than what I was told on the phone.",1,1st July 2024,Alex Martyn,
“wholly inadequate customer service”,"✅ Trip Verified | Flight cancelled with no reason given less than 24 h before departure. The earliest offered replacement on their (terrible to use) app was 3 days later, which was unacceptable. Their phone lines do not work and would reject your call due to being overwhelmed. Even submitting a claim on their website is frustrating due to their terrible interface. Overall, terrible company with wholly inadequate customer service.",1,30th June 2024,P Jackson,
“the cabin crew were great”,"✅ Trip Verified | This is a route I fly regularly. Used first class security and lounge all good. Lounge surprisingly not so busy. Was great to see we weren't departing from the dreaded A10 bus gate, and the flight was on time. Boarded and ready to go on time and then.... Six passengers were a no show. A 50 minute delay to offload the bags and depart, longer than the actual flight itself. There has to be a better process for fast tracking this. Hence finally arrived in Paris 45 mins late. On the plus side the cabin crew were great and even had a personal welcome from the inflight manager which happens less and less these days.",6,26th June 2024,R Thornton,
"""cannot recommend BA""","✅ Trip Verified |  While BA may have made some positive improvements to its Club World product, its World Traveler product and catering leaves much to be desired. The first meal service was very slow, more than 3 hours to serve the meal. The portions were incredibly small - the chicken dish contained maybe 5 pieces of chicken, 2 pieces of broccoli, and a piece of unknown food. Small snacks were available during the flight, but the real let down was the snack before landing in Vancouver. It was a bizarre tasting chicken pastry wrap, which didn't have much chicken and did not taste at all like a pastry. It was too sweet, too mushy, and too salty. The seats, although not exactly spacious, were tolerable, although the aisles are very narrow, and cabin crew and other passengers frequently bumped into me while walking up and down the aisles. Cabin crew were generally responsive to passengers' request, and once or twice during the flight, came down the aisles with drinks. However, the poor level of catering made for a very frustrating trip. I certainly cannot recommend BA.",3,23rd June 2024,J Fang,
“a very poor last impression of BA”,"✅ Trip Verified | British Airways new Club Suite is a marked improvement from their older Club World seats. The new Club Suite offers a fair amount of privacy, especially with the screen door closed, and includes direct aisle access. When fully reclined, the seat converts into a fairly spacious bed, although I found the surface on the side a bit hard and uncomfortable to sleep on. The catering on board was fairly good and tasty - the appetizers and the main course were generally well cooked, although the cabin crew were very slow with the meal service. It took almost 3 hours after departure from Vancouver for the meal service to be completed. Prior to arrival, a light breakfast was served, which contained a croissant, a small egg and bacon sandwich, and a mango puree. BA's catering on this flight was generally good. Unfortunately, upon arrival at Heathrow, passengers had to wait over 90 minutes for checked baggage to arrive. No explanation was given, and not a single member of ground staff came to assist passengers or provide any information about when checked baggage would arrive. This was a very frustrating end to what was otherwise a fairly enjoyable trip in Club World, and left a very poor last impression of BA.",5,23rd June 2024,J Fang,
"""happy to recommend BA""","✅ Trip Verified |  Four very pleasant, on time flights with friendly, helpful staff. The guy on the LHR/SFO leg was exceptional and I regret that I have forgotten his name. Only negative was the food on the SFO/LHR leg. The advertised filet steak was more akin to stewing steak and was inedible. Sadly this is not the only occasion I have food on US/UK flights to be sub standard. Otherwise happy to recommend BA.",9,18th June 2024,Caleb Lowe,
"""cancelled our return flight""","Not Verified |   We travel extensively over 25 years and tend to use BA on our regular trips where possible and in recent years we have had overall good service from them however more recently we have experienced flight delays, operational issues, flight cancellations, poor check-in experiences etc. On our last two recent trips, one to Zurich and another to Iceland they had cancelled our return flight an hour or so prior to the scheduled departure time despite the flight showing as on time and no problems being reported. We have just returned from Iceland and our experience was one of the worst we have ever had with BA. Again our flight was just cancelled due to operational reasons but what made matters worse on this occasion was the flight was quite early at 7:45am. We went to bed at around 11pm (night before), checked the flight and it showed as being on time with again no issues being reported so we went to sleep fairly rest assured the the flight would be fine. We woke up at 5:30am and then discovered our flight had been cancelled without any warning! We were then left with virtually no other return flight options for that day. It soon got worse as the earliest flight option then being offered by BA was 3 days later! We opted to choose Tuesday with BA as we were left with no other option! If we hadn't acted quickly the Tuesday availability was sure to sell out leaving us with a return option of Wednesday onwards having experienced the same problem with BA in Zurich back in December. We were lucky on this occasion as BA offered several flights back on the same day in Zurich but this wasn't the case with Iceland! We were then left in a right predicament as hotel availability in Iceland was very limited to non existent given the very short notice of our cancelled flight. Our hotel was fully booked and our hire car had to be returned to the airport. From a logistical point of view this was a complete nightmare having to then rebook another hire car and to find alternative hotels. We then decided to search for any in-direct flights online to get us back to the UK sooner with another airline and after a good half hour of searching we came across an in-direct flight into Gatwick with Norwegian Air but it went via Oslo and a total journey time of 8 hours! This was not ideal as our car was in Heathrow! Assessing our options which were virtually none, we had no guarantees that the flight with BA on Tuesday would also have proceeded on time and checking with Norwegian Air both flights were on time and looked promising so we decided to get these booked at an additional expense of £600! If we had stayed in Iceland we would have also incurred additional cost to then fight back with BA or the insurance company. Our priority was to return home ASAP as we had important work and personal commitments on the Monday so we had to return ASAP. We eventually flew back fine with Norwegian Air and the service we received was far superior to that of BA. The boarding process was slick on both flights compared to a complete shambles with BA. Norwegian Air offered a full food trolley service with soft drinks, tea's and also a range of alcoholic drinks. Compare this to just the water and snack bar on BA!! Both flights were on time and we eventually landed in Gatwick shortly after our expected arrival time. We got back very late home after having to then book a hire car at Gatwick and in the morning we contacted BA to cancel our alternative Tuesday flight",2,18th June 2024,N Thomas,
"""Very good experience all round""","✅ Trip Verified |  Flight delayed an hour due to bad weather around JFK however this was made up during the flight, only to be delayed again by weather over LHR. Spending an extra hour in the American/BA lounge at JFK was not ideal. Cold environment, cold staff, indifferent to the travellers needs. One area was exceptionally dirty with plates on the tables and napkins strewn on the floor. Waited for a drink as no one to serve. Played a game of find the chips/crisps - which were hidden on a table in a dark corner in one of the 3 areas. This is a crazy expensive route in Business Class and it feels like a rip off across all the airlines however the quality of BA's business class has much improved with the introduction of the suites. The privacy is a big improvement as too is the seat comfort and I managed a good 3hr sleep on the overnight red-eye flight. Food service was very efficient for those that wanted it and did the trick so late at night. Aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant. Unfortunately, I didn't catch his name but he was superb, being responsive to the few requests I made and remembered my name throughout the flight. A small but very valued touch that is often missing with business class flight attendants on BA. Very good experience all round except the price which is reflected in my value for money rating.",8,17th June 2024,N Carter,
"""inflight service was efficient and friendly""",✅ Trip Verified |  A very full flight made Premium Economy feel a little less premium than you should expect for the price however the smaller cabin configuration and slightly roomier seating made the journey relaxing enough. Catering was pretty good and the inflight service was efficient and friendly. Arrived on time and no delays with baggage delivery. No complaints as PE served it's function for the relatively short 7.5hr flight.,7,17th June 2024,N Carter,
“worst airline I’ve ever flown”,"✅ Trip Verified | The worst airline I’ve ever flown. Could not check in until my flight was open (I was there 2 hours before flight not 2 days before!). Asked if my husband could fly on the same flight (he was also flying club Europe but on a later flight and I could see online that there was room on the plane I was on). The agent said they couldn’t change his flight at the ticket counter (never heard of that). This could only be done online or by calling British Airways. I had already tried online so asked for a telephone number to call and the British Airways agent did not have a number for me to call. So I looked up and called several numbers online and all I got was the office was closed on Saturdays. I asked for the ticket agent again. Explained we were going to his mother’s memorial and that and it would be nice if he could get on the same flight as I was on. They still refused to help. So, he stayed on his flight which was leaving 4 hours later and then got cancelled and he had to spend the night in Florence. They re routed him on a flight to London via Edinburgh. And then they lost his suitcase!! You can’t make this stuff up! As for my flight # BA 525, I got several emails and messages advising me it was delayed. I decided to go to the gate at the original flight time and guess what? It was boarding on time. I can’t imagine the number of people who might of missed it. It’s just an awful, awful airline and I will never fly them again if I can possibly avoid them!",1,16th June 2024,H Miller,
"""Cabin crew were great""","✅ Trip Verified |  I am surprised to be able to give a favourable review of the flight. European Business Class is typically 3x3 seating with the middle seat on each group of three left empty. Leg room is never generous and BA is at the bottom of the generous barrel in this respect. However, on this occasion at least and as the flight is one hour that was not an issue. Cabin crew were great, very professional and efficient, cabin was clean and aircraft seemed pretty up to date. I was surprised to find that business class was served an 'afternoon tea' complete with champagne (much nicer than the poor Prosecco in the lounge). We had three small sandwiches, chocolate cake and a choice of plain or fruit scone. Strawberry jam and clotted cream on the side for those who wanted them. It all tasted great, I didn't try the chocolate cake, and there was just about enough time to eat it before landing. The crew worked very hard to complete service in time so well done them.",8,15th June 2024,Kevin Tunnicliffe,
"""flight itself was quite good""","✅ Trip Verified |  Flew British Airways on BA 434 London Heathrow to Amsterdam. I was able to check in at the BA First Class check in area in Terminal 5 and this is very fast and efficient. The lounge was quite busy; however, I was able to find space. The food, snacks, and drinks available was excellent as was the overall service. I also like the BA First Class Check in area as the security clearance is fast. Boarding was a little chaotic, however we boarded on time and the take off runway was close to the departing gate, therefore no delays. The flight itself was quite good as was the cabin crew and the meal service.",9,10th June 2024,Jonathan Rodden,
"""You expect better from BA""","✅ Trip Verified |  BA cancelled the flight from Tokyo to LHR. I was booked on next day flight. There was another flight on the same day. I went to the desk, but the flight was full. BA in charge offers another flight through Hong Kong which would have been 26h flight time. I declined that, and asked to stay on the next day flight. To my dismay he cancelled the next day flight without telling me he did that. I think he was annoyed that I didn’t accept the offer after he spent sometime looking for. In fact I am the one who should be annoyed for cancelling my flight. I ended up flying another airline with downgrading. Poor service, and appalling behaviour. You expect better from BA.",1,9th June 2024,A Hammad,
"“never fly British Airways""","✅ Trip Verified | I strongly advise everyone to never fly British Airways. I know we will never do so again. We had business class seats booked for an early morning flight from Heathrow to SF - and then the flight was cancelled the evening before the flight. We luckily checked email before we went to bed and found out it was canceled. We then called BA, and after waiting 30 minutes someone to answer the call, the person who finally did said he was going to move us to a United Air flight leaving an hour later from Heathrow to SF the next day. He told us the flight number and said he had booked us business class seats. It took a long time to get it all worked out, so we got just a few hours sleep that night, but it looked like it was resolved. Then, however, when we got to Heathrow early the next morning we found that the BA person did not complete the booking as needed and United could not give us seats. They said we needed to call BA to get them to complete the change. But despite numerous attempt we could not get anyone to answer the phone at BA. This went on for 2 hours. Finally, by the grace of god, after hours of stress trying to figure out what to do, we found a United ticket agent at the airport who personally called BA for us and got then to fix the problem. So, after being at Heathrow at 7 am, we ended up leaving for SF late that afternoon totally exhausted. The United air ticket agent saved us and allows us to get home. She also said these problems were common with BA.",1,6th June 2024,D Baker,
“we will rethink BA moving forward”,"✅ Trip Verified | My partner and I were on the BA2166 return flight from Tampa to Gatwick and I was very excited as had paid for a upgrade to Business Class, my partner flies BC with BA a lot for work but this was only my second time, we decided as it was the end of our holiday that have this will help us get some quality sleep. Unfortunately that was not to be. Also in Business Class were two families with children under 5. It was a very long flight listening to a toddler not just crying but screaming for seven out of the eight hours. Now its not the childrens fault, I do however think that the cabin crew could have maybe internvene and helped a little more but also BA should have informed us as we paid alot of money and quite frankly could have saved that money and just had economy ticket as at least we would be a few grand better off. What with that and how the checking in ground staff were treating us as if we were an inconvenience we will rethink BA moving forward.",5,3rd June 2024,Val Rose,
“extremely poor customer service”,"Not Verified |  We had a Premium Economy return flight Los Angeles to London. The outbound flight was cancelled with under 12 hours notice, and we had to instead take an economy flight via Dublin to London. That's annoying but it happens. What is really difficult to understand is BA's response since I raised this as a claim once our return flight had completed (as I was instructed to do). It is now nearly 5 months and there has been no response other than one in early March with the title ""we've not forgotten your case"" and ""We're really sorry you're still waiting for a response from us. We know it's been a long time since you contacted us and this isn't the service you should expect. Rest assured we've not forgotten your case. Our Customer Relations team are working extremely hard to respond to you as soon as possible. Thank you for your continued patience. You can check the status of your case here. Please accept our most sincere apologies. We look forward to speaking with you soon."" I called about a month ago to enquire and was told i'd be hearing within the week. This is just extremely poor customer service, in addition to the inconvenience and stress of the late-cancelled flight, delays and change in class of flight. British Airways really seems to be on the decline, i have so many friends who are long-time customers like us who are having flights cancelled or delayed with little commitment to make it right. I have been a member of their Flying Club for 20 years, is this how you treat loyal customers BA?",1,1st June 2024,Jason George,
“a pleasant and civilized journey”,"✅ Trip Verified |  I should like to review my flight with British Airways from Hannover to London Heathrow. Firstly, the website was very easy to use, however, I object to the policy put in place with regards to having to pay for preferred seating. Checking-in online was a very easy process other than being presented with the fee to select a seat. At the boarding gate in Hannover the staff were superb, they insisted that people with larger bags turned over the bags for check-in. I was included in this. The staff were very fair and polite and imposed this policy evenly and in a firm but polite manner. The flight took off reasonably on-time. The cabin crew were very good and coped really well with what was an entirely full flight. The now usual small bottle of water and a tiny snack the size of a UK 50p coin were issued to the passengers. On this flight, the Captain was very vocal in the nicest possible way. He oozed a sense of professionalism and was well spoken with clear and informative announcements. Disembarkation was orderly, however the cabin crew were nowhere to be seen when leaving the aircraft. Given that this was a very short flight and given the full nature of the flight too the cabin crew deserve an applause for their professionalism. This experience has turned around my less than positive experience with this airline a few months ago. Well done to the ground staff and cabin crew for making this a pleasant and civilized journey!",9,1st June 2024,S Barton,
"""the worst BA flight we've experienced""","✅ Trip Verified | We have flown with British Airways a few times but this last trip was by far the worst experience. We weren't able to check in online because the system wouldn't accept any of our passport info, so we had to wait to check in upon arrival at the airport. We arrived two hours before our scheduled departure. The line was backed up with only 4 stations being staffed where there was room for at least 6 more attendants to help expedite check in. We talked to a few people in line and they too were unable to check in online. It took the desk attendants an hour to check in the people ahead of us. We told the agent we had tried to check in online but it wouldn't accept our passports, she replied it was because they need to verify each passport personally. I asked that wouldn't they verify them that way anyway? I also let her know we attempted to move closer to the front of the plane and could see there were seats available but couldn't secure them because we couldn't finish check in. She went on to tell us it's a full flight so we wouldn't be able to choose our seats. We reached the gate and ask the agents there about moving to another section and she confirmed there was no availability. During the flight, the service was not what we expected based on previous flights. We only saw the flight attendants during food service and twice to pickup trash. Every time I went to the lavatory, there were at least 6-8 attendants standing around chatting, instead of taking care of the passengers. The attendants seemed uninterested and inexperienced, even snapping at a confused passenger regarding their seat belt. The flight attendants were disappointing to say the least. No available air control vents above us, so no option to have any air flow other than what the whole plane had. Upon landing, we went to the baggage carousel to claim our bags. An hour later, still no bags. Finally a message came over the loudspeakers that the elevator on the plane was broken and the ETA of the bags was still unknown. About 30 minutes later, the bags started to slowly appear on the belt. Overall, this was the worst BA flight we've experienced.",2,31st May 2024,Marvin Daugherty,
"""Never again British Airways""","✅ Trip Verified | I sat in the plane at Vienna airport for three hours and didn't take off. After arriving in London, I was sent on my connecting flight, only to be told that the plane had already closed and that I should go back to the other terminal. I was then flown to Johannesburg with Virgin and when I arrived my luggage had not been taken. I only received it five days later. I have been waiting for compensation for nine months. Never again British Airways",1,31st May 2024,Markus Hornek,
"""only been offered half a glass of water""",✅ Trip Verified | It is almost 11pm we were supposed to take off at 19.20 we are still sitting on the plane at the airport. The worst part is not the technical issue that has kept us grounded but the fact we have only been offered half a glass of water the entire time we have been on board. Being hungry and dehydrated has not helped the situation.,1,30th May 2024,V Smart,
"""told by cabin crew I would be refunded""","✅ Trip Verified |  I booked a long haul flight to Singapore with British Airways because I thought I could rely on them to provide good and reliable service. Unfortunately this wasn't the case hence this review. Knowing I would be able to fall asleep watching movies or TV shows on their in flight entertainment system was something I was looking forward to on this overnight flight. However, my console didn't work and instead I had a loud screaming toddler in the seat behind me that kept kicking my seat and some babies in Front. Only two hours into this already hell of a journey were we told that we should buy the WiFi pass for which we will get fully reimbursed. I followed up several times throughout the flight with the cabin crew who assured me they will take a note of my seat number and someone from customer service will contact me with reimbursement. This wasn't the case. After waiting for several days I contacted them myself and instead of the 21.99 reimbursement that I can use towards a nice meal on holiday they've given me 5000 AVIOs. I never want to fly with them again so why give me service points when I was told by cabin crew I would be refunded - the only reason I even bought this WiFi pass as it's not even good enough to watch anything with because the connection quality is so poor. What a waste of a flight and £22. These are 14 hrs of my life I will never get back and forever remember. I will remember BA as the brand that once was that no longer is. Their cabin crew seemed overworked and overwhelmed and even when you pressed the attention buzzer no one came. If you can avoid booking with BA go ahead.",2,29th May 2024,Isabel Mondorf,
“premium price for a sub-par product”,"✅ Trip Verified |  A premium price for a sub-par product - flew BA (031/032) LHR and HKG and return in May. We had originally booked when the aircraft was allocated the club suites - paid for seat selection. A couple of months prior to the trip, the aircraft was changed to the 2/3/2 layout with the yin/yang seat configuration. We had been allocated 2 of the 3 middle seats, so paid again to select the window and aisle. The hard product is poor - the seat space lacks any form of storage that remains accessible when the seat is in the flat position - nowhere to put specs, a book or phone. Additionally, the window seat passenger has to climb over the feet of another passenger to use the toilet etc - really poor layout. The planes on both legs of the journey were tired and shabby. The crew on the outward journey were enthusiastic and helpful - the return crew seemed less adept at managing the service. The outbound catering was acceptable - but the presentation on tiny plates does not compare favourably with competitors. The catering inbound was very poor. The welcome ‘champagne’ was truly awful. This is a poor product at a premium price - and sad to say, this pair of self-funding passengers won’t choose to repeat the experience. The lounge at Heathrow on the outbound sector was packed to the rafters and was a poor experience. Very disappointing.",3,26th May 2024,L Tomlinson,
"""can't even choose my own seat""",✅ Trip Verified |  Really terrible user experience. British Airways website is full of glitches. I can't even choose my own seat due to cookie problems. Never had this problem with any other airlines.,3,20th May 2024,G Layne,
“Very impressed with BA”,"✅ Trip Verified | Very impressed with BA. Check in online was a little convoluted but once through that everything was great. We flew in standard economy and paid to choose our seats - this seems to be standard for all airlines now and how they keep initial prices down, but worth doing so we could sit together. Meals were excellent and drinks great. A simple water and biscuit on our short internal leg but still included and then 1 drink, 1 main meal and 1 snack on our 7 hour leg was better than our last trip on Emirates!! They gave out double drinks at drink service - that was 2 cokes and 2 beers for my partner and he was well pleased! Staff friendly, bags transfered and arrived in good condition and entertainment on route was good too. Will definitely choose BA again over other airlines.",9,18th May 2024,H Harrison,
"""appalling customer service""","✅ Trip Verified |  LHR - SFO, LAS - LGW August 2023 in Club World. It's a shame that the British Airways experience is split into a mixture of fantastic ground and cabin crew, and dated products and dreadful after service. Our flight to San Francisco was on an A380, the interior of which was showing it's age. Two of our 3 seats had issues, 1 would not recline, the dividing screen to the next seat would not stay up and the other was temperamental with it's recline and the IFE would not respond to the controls. Crew on board were great but the dated and aging product for which top dollar is charged for should have been upgraded years ago. A shame for such a great aircraft. Coming back from Las Vegas to LGW on an tired 777. We were informed at check in that there was an issue with the seats we had pre-booked and paid for and that we would need to be moved. Seats we were moved to were fine and worked. The original seats had people in them and they appeared fine! Flight was late landing and departing due to weather conditions in Vegas but the aircraft was turned round in a super quick time - which was impressive. Where BA have really let themselves down is the after flight experience. After 3 1/2 months we got an acknowledgement and avios credit for the issues on the flight to SFO. We are still waiting 9 months later for the Avios points we used to pay for the seat selection to be refunded for the Las Vegas to London Gatwick leg of the flight. Despite numerous attempts to contact they haven't got back to us. Our Avios account page through BA won't load our recent transactions and does not list the flights we've taken in the last 12 months! Won't be travelling with BA for a long long time now - dated and poorly maintained on board products and appalling customer service.",3,14th May 2024,E Burton,
"""baggage customer service is a joke""",Not Verified |   I flew from Malaga via LHR to Boston on the 4th May 2024 and on arrival in Boston discovered my luggage was still in London. Filed a report and now 4 days later no sign of the luggage. The baggage customer service is a joke. Not interested in the clients or giving a good service. Updates are useless. I know my luggage has been sitting in Boston since the 5th as I have an air tag inside it. The airline seem to have no intention of getting my luggage to me. The robots on FB messenger & twitter are useless. I opened a complaint & when I checked the update of my complaint the case had been closed despite never been contacted by a human!! This airline is now a joke and if I ever get my luggage back I doubt I will ever fly with them again. They are now worse than Air Canada in my book and that is saying something.,2,8th May 2024,Loretta Ahmad,
"""Worst business class ever""","✅ Trip Verified |  Milan to Miami return via London. Worst business class ever. The layout of A380 of BA is crazy. The width of seats is outrageous (aisle seats are a shame for BA). Length is ok but you have to JUMP over the legs of another passenger when he/she is in sleeping mode. Unbelievable. The system of dividers up and down to reach all seats by crew is absurd and awful. Never again with this layout. Meal was below average from LHR to Mia, while the return was quite good. Unfortunately for BA, I flew in March with Qatar Airways business class, and not comparable. Just to highlight the difference: BA row has 8 seats, while QR has 4 seats! That’s it. On top of that, the service is quite strange (mainly due to dividers above). Boarding procedures look well organized at the beginning, then during boarding become quite messy.",1,8th May 2024,R Bartelo,
